"Function Stack","CPU Time: Total","CPU Time: Self","Module","Function (Full)","Source File","Start Address"
"Total","53.406","0","[Unknown]","[Unknown]","[Unknown]","[Unknown]"
" __clone3","1.31","0","libc.so.6","__clone3","clone3.S","0x126820"
" [stack]","52.096","0.803967","[stack]","[stack]","[Unknown]","0"
"  uselocale","0.990006","0","libc-dynamic.so","uselocale","[Unknown]","0x69660"
"  strlen","0.0680035","0.0680035","libc-dynamic.so","strlen","[Unknown]","0x3e730"
"  OS_SyscallDo","0.00800665","0","libc-dynamic.so","OS_SyscallDo","[Unknown]","0x794c0"
"   OS_BARESYSCALL_DoCallAsmIntel64Linux","0.00800665","0.00800665","libc-dynamic.so","OS_BARESYSCALL_DoCallAsmIntel64Linux","[Unknown]","0x80964"
"  memset","0.0279973","0.0279973","libc-dynamic.so","memset","[Unknown]","0x6a3b0"
"  memcpy","0.0676966","0","libc-dynamic.so","memcpy","[Unknown]","0x69d90"
"  memcmp","0.214008","0.214008","libc-dynamic.so","memcmp","[Unknown]","0x69ce0"
"  GetSubprogramsListInImage","26.2411","0.119995","libpindwarf.so","GetSubprogramsListInImage","[Unknown]","0x7e60"
"   strdup","0.599989","0.291995","libc-dynamic.so","strdup","[Unknown]","0x3e5b0"
"   LoadDwarf","0.417995","0","libpindwarf.so","LoadDwarf(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>&)","[Unknown]","0x4ee0"
"   IterateOnCompileUnits","25.1032","0","libpindwarf.so","IterateOnCompileUnits(DWARFData&, bool, bool, unsigned long long)","[Unknown]","0x68c0"
"    TraverseDwarfRecursive","24.8851","0.0280039","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"     TraverseDwarfRecursive","23.3775","0.339962","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"      TraverseDwarfRecursive","20.3115","0.975933","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"       TraverseDwarfRecursive","15.2176","1.36598","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"        TraverseDwarfRecursive","9.45978","0.915829","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"         TraverseDwarfRecursive","5.39594","0.696049","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
"          TraverseDwarfRecursive","2.34","0.350018","libpindwarf.so","TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)","[Unknown]","0x5c20"
