Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
vsnprintf,0.0100071,0,libc-dynamic.so,vsnprintf,[Unknown],0x3a950
uselocale,0.0399879,0,libc-dynamic.so,uselocale,[Unknown],0x69660
TraverseDwarfRecursive,28.7837,5.93998,libpindwarf.so,"TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)",[Unknown],0x5c20
strlen,0.649952,0.649952,libc-dynamic.so,strlen,[Unknown],0x3e730
strdup,0.679987,0.319966,libc-dynamic.so,strdup,[Unknown],0x3e5b0
"std::__invoke_impl<void, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&, folly::ThreadPoolExecutor*&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&>",1.01,0,libBOSSVeloxEngine.so,"std::__invoke_impl<void, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&, folly::ThreadPoolExecutor*&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&>(std::__invoke_memfun_deref, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&&&, folly::ThreadPoolExecutor*&&&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&&&)",invoke.h,0x46aa1a0
start_thread,1.01,0,libc.so.6,start_thread,pthread_create.c,0x947d0
simple_value_hashfunc,0.0479833,0.0479833,libdwarf.so,simple_value_hashfunc,[Unknown],0xbb30
simple_compare_function,0.116004,0.116004,libdwarf.so,simple_compare_function,[Unknown],0xbb40
read,0.0620033,0,libc-dynamic.so,read,[Unknown],0x65660
OS_TlsSetValueForThread,0.0199948,0,libc-dynamic.so,OS_TlsSetValueForThread,[Unknown],0x7bb40
OS_TlsSetValue,0.0199948,0,libc-dynamic.so,OS_TlsSetValue,[Unknown],0x7bba0
OS_TlsGetValue,0.0300002,0,libc-dynamic.so,OS_TlsGetValue,[Unknown],0x7bae0
OS_Time,0.378003,0.0080035,libc-dynamic.so,OS_Time,[Unknown],0x7ed50
OS_SyscallDo,1.14605,0.0279904,libc-dynamic.so,OS_SyscallDo,[Unknown],0x794c0
OS_RWLockAcquireWrite,0.0199948,0.0199948,libc-dynamic.so,OS_RWLockAcquireWrite,[Unknown],0x79e30
OS_ReadFD,0.0620033,0,libc-dynamic.so,OS_ReadFD,[Unknown],0x7d5d0
OS_GetTid,0.0300002,0,libc-dynamic.so,OS_GetTid,[Unknown],0x7e2e0
OS_BARESYSCALL_DoCallAsmIntel64Linux,1.11806,1.11806,libc-dynamic.so,OS_BARESYSCALL_DoCallAsmIntel64Linux,[Unknown],0x80964
memset,2.27196,2.27196,libc-dynamic.so,memset,[Unknown],0x6a3b0
memmove,0.745926,0.745926,libc-dynamic.so,memmove,[Unknown],0x69e90
memcpy,0.765926,0.0200006,libc-dynamic.so,memcpy,[Unknown],0x69d90
memcmp,2.32606,2.32606,libc-dynamic.so,memcmp,[Unknown],0x69ce0
main,25.1015,0,Benchmarks,main,Benchmarks.cpp,0x2bd20
LoadDwarf,1.55,0,libpindwarf.so,"LoadDwarf(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>&)",[Unknown],0x4ee0
IterateOnCompileUnits,29.0234,0,libpindwarf.so,"IterateOnCompileUnits(DWARFData&, bool, bool, unsigned long long)",[Unknown],0x68c0
IntHashMap_PutLazy,0.0199948,0,libc-dynamic.so,IntHashMap_PutLazy,[Unknown],0x7a970
gettimeofday,0.448003,0.07,libc-dynamic.so,gettimeofday,[Unknown],0x65260
GetSubprogramsListInImage,31.3493,0.0959938,libpindwarf.so,GetSubprogramsListInImage,[Unknown],0x7e60
GetSubprogramName,8.49531,0.464049,libpindwarf.so,"GetSubprogramName(DWARFData&, int, char**, Dwarf_Die_s*)",[Unknown],0x3e00
func@0xfd8d0,0.0119972,0.0119972,libBOSSDictionaryEncoderEngine.so,func@0xfd8d0,[Unknown],0xfd8d0
func@0xfd7c0,0.0119971,0.0119971,libBOSSDictionaryEncoderEngine.so,func@0xfd7c0,[Unknown],0xfd7c0
func@0xfd390,0.0199991,0.0199991,libBOSSDictionaryEncoderEngine.so,func@0xfd390,[Unknown],0xfd390
func@0xfc180,0.012002,0.012002,libBOSSDictionaryEncoderEngine.so,func@0xfc180,[Unknown],0xfc180
func@0xfbf10,0.0120037,0.0120037,libBOSSDictionaryEncoderEngine.so,func@0xfbf10,[Unknown],0xfbf10
func@0xfbe60,0.0200016,0.0200016,libBOSSDictionaryEncoderEngine.so,func@0xfbe60,[Unknown],0xfbe60
func@0xfb520,0.0120005,0.0120005,libBOSSDictionaryEncoderEngine.so,func@0xfb520,[Unknown],0xfb520
func@0xfa470,0.00799932,0.00799932,libBOSSDictionaryEncoderEngine.so,func@0xfa470,[Unknown],0xfa470
func@0xf9150,0.00799911,0.00799911,libBOSSDictionaryEncoderEngine.so,func@0xf9150,[Unknown],0xf9150
func@0xf73c0,0.0120006,0.0120006,libBOSSDictionaryEncoderEngine.so,func@0xf73c0,[Unknown],0xf73c0
func@0xf7330,0.0120007,0.0120007,libBOSSDictionaryEncoderEngine.so,func@0xf7330,[Unknown],0xf7330
func@0xf67c0,0.0639743,0.0639743,libBOSSDictionaryEncoderEngine.so,func@0xf67c0,[Unknown],0xf67c0
func@0xf6360,0.0119998,0.0119998,libBOSSDictionaryEncoderEngine.so,func@0xf6360,[Unknown],0xf6360
func@0xf61d0,0.0119982,0.0119982,libBOSSDictionaryEncoderEngine.so,func@0xf61d0,[Unknown],0xf61d0
func@0xf57d0,0.00799718,0.00799718,libBOSSDictionaryEncoderEngine.so,func@0xf57d0,[Unknown],0xf57d0
func@0xf4cb0,0.0240004,0.0240004,libBOSSDictionaryEncoderEngine.so,func@0xf4cb0,[Unknown],0xf4cb0
func@0xf2b00,0.00800138,0.00800138,libBOSSDictionaryEncoderEngine.so,func@0xf2b00,[Unknown],0xf2b00
func@0xf2980,0.0159999,0.0159999,libBOSSDictionaryEncoderEngine.so,func@0xf2980,[Unknown],0xf2980
func@0xe4a0,0.00799661,0.00799661,libc++abi.so,func@0xe4a0,[Unknown],0xe4a0
func@0xe140,0.0199968,0.0199968,libc++abi.so,func@0xe140,[Unknown],0xe140
func@0xdc244,1.01,0,libstdc++.so.6,func@0xdc244,[Unknown],0xdc244
func@0xaf70,0.156016,0.156016,libdwarf.so,func@0xaf70,[Unknown],0xaf70
func@0xad30,0.0440076,0.0440076,libdwarf.so,func@0xad30,[Unknown],0xad30
func@0xabf0,0.172027,0.172027,libdwarf.so,func@0xabf0,[Unknown],0xabf0
func@0xab20,0.0920157,0.0920157,libdwarf.so,func@0xab20,[Unknown],0xab20
func@0xaaf0,0.0279874,0.0279874,libdwarf.so,func@0xaaf0,[Unknown],0xaaf0
func@0xaa90,0.0720056,0.0720056,libdwarf.so,func@0xaa90,[Unknown],0xaa90
func@0xa9c0,0.311928,0.311928,libdwarf.so,func@0xa9c0,[Unknown],0xa9c0
func@0xa970,0.0319973,0.0319973,libdwarf.so,func@0xa970,[Unknown],0xa970
func@0xa8e0,0.0359981,0.0359981,libdwarf.so,func@0xa8e0,[Unknown],0xa8e0
func@0xa8b0,0.0119972,0.0119972,libdwarf.so,func@0xa8b0,[Unknown],0xa8b0
func@0xa5e0,0.0319954,0.0319954,libdwarf.so,func@0xa5e0,[Unknown],0xa5e0
func@0xa5b0,0.0279865,0.0279865,libdwarf.so,func@0xa5b0,[Unknown],0xa5b0
func@0xa2b0,0.0120104,0.0120104,libdwarf.so,func@0xa2b0,[Unknown],0xa2b0
func@0xa270,0.0340116,0.0340116,libdwarf.so,func@0xa270,[Unknown],0xa270
func@0xa150,0.0120009,0.0120009,libdwarf.so,func@0xa150,[Unknown],0xa150
func@0xa0f0,0.00800317,0.00800317,libdwarf.so,func@0xa0f0,[Unknown],0xa0f0
func@0x47400,0.0118867,0.0118867,libBOSS.so,func@0x47400,[Unknown],0x47400
func@0x3a630,0.00799967,0.00799967,libc++.so,func@0x3a630,[Unknown],0x3a630
func@0x371d0,0.0079965,0.0079965,libBOSSWisentDeserialiserEngine.so,func@0x371d0,[Unknown],0x371d0
func@0x36b70,0.0371393,0.0371393,libBOSSWisentDeserialiserEngine.so,func@0x36b70,[Unknown],0x36b70
func@0x36910,0.00800279,0.00800279,libBOSSWisentDeserialiserEngine.so,func@0x36910,[Unknown],0x36910
func@0x363e0,0.00799429,0.00799429,libBOSSWisentDeserialiserEngine.so,func@0x363e0,[Unknown],0x363e0
func@0x33f0,0.0119971,0.0119971,libpindwarf.so,func@0x33f0,[Unknown],0x33f0
func@0x33c0,0.0320053,0.0320053,libpindwarf.so,func@0x33c0,[Unknown],0x33c0
func@0x3340,0.0120018,0.0120018,libpindwarf.so,func@0x3340,[Unknown],0x3340
func@0x3310,0.0120004,0.0120004,libpindwarf.so,func@0x3310,[Unknown],0x3310
func@0x32e0,0.023998,0.023998,libpindwarf.so,func@0x32e0,[Unknown],0x32e0
func@0x3270,0.0240002,0.0240002,libpindwarf.so,func@0x3270,[Unknown],0x3270
func@0x3210,0.0279959,0.0279959,libpindwarf.so,func@0x3210,[Unknown],0x3210
func@0x31e0,0.020007,0.020007,libpindwarf.so,func@0x31e0,[Unknown],0x31e0
func@0x30e0,0.0159974,0.0159974,libpindwarf.so,func@0x30e0,[Unknown],0x30e0
func@0x30b0,0.0240077,0.0240077,libpindwarf.so,func@0x30b0,[Unknown],0x30b0
func@0x23cc0,0.03,0.03,libBOSSRemoteBinaryLoaderEngine.so,func@0x23cc0,[Unknown],0x23cc0
func@0x20060,0.02,0.02,Benchmarks,func@0x20060,[Unknown],0x20060
func@0x1d5aac0,0.00799485,0.00799485,libBOSSVeloxEngine.so,func@0x1d5aac0,[Unknown],0x1d5aac0
func@0x1d50ba0,0.0120122,0.0120122,libBOSSVeloxEngine.so,func@0x1d50ba0,[Unknown],0x1d50ba0
func@0x1d325d0,0.00800514,0.00800514,libBOSSVeloxEngine.so,func@0x1d325d0,[Unknown],0x1d325d0
func@0x1d27190,0.00799774,0.00799774,libBOSSVeloxEngine.so,func@0x1d27190,[Unknown],0x1d27190
func@0x1cfa0d0,0.0119745,0.0119745,libBOSSVeloxEngine.so,func@0x1cfa0d0,[Unknown],0x1cfa0d0
func@0x1cd34b0,0.00799582,0.00799582,libBOSSVeloxEngine.so,func@0x1cd34b0,[Unknown],0x1cd34b0
func@0x14f20,0.01,0.01,libc-dynamic.so,func@0x14f20,[Unknown],0x14f20
func@0x13a00,0.02,0.02,libc-dynamic.so,func@0x13a00,[Unknown],0x13a00
func@0x13700,0.0119997,0.0119997,libc-dynamic.so,func@0x13700,[Unknown],0x13700
func@0x13360,0.011987,0.011987,libc-dynamic.so,func@0x13360,[Unknown],0x13360
"folly::SharedMutexImpl<(bool)0, void, std::atomic, folly::SharedMutexPolicyDefault>::lock",0.0119992,0.0119992,libBOSSVeloxEngine.so,"folly::SharedMutexImpl<(bool)0, void, std::atomic, folly::SharedMutexPolicyDefault>::lock(void)",SharedMutex.h,0x464e330
folly::CPUThreadPoolExecutor::threadRun,1.01,0,libBOSSVeloxEngine.so,folly::CPUThreadPoolExecutor::threadRun(std::shared_ptr<folly::ThreadPoolExecutor::Thread>),CPUThreadPoolExecutor.cpp,0x46901a0
facebook::velox::VectorPool::TypePool::pop,0.00802923,0,libBOSSVeloxEngine.so,"facebook::velox::VectorPool::TypePool::pop(std::shared_ptr<facebook::velox::Type const> const&, int, facebook::velox::memory::MemoryPool&)",VectorPool.cpp,0x45557c0
facebook::velox::VectorPool::get,0.00802923,0,libBOSSVeloxEngine.so,"facebook::velox::VectorPool::get(std::shared_ptr<facebook::velox::Type const> const&, int)",VectorPool.cpp,0x45554f0
facebook::velox::setThreadLocalRunTimeStatWriter,0.0119992,0.0119992,libBOSSVeloxEngine.so,facebook::velox::setThreadLocalRunTimeStatWriter(facebook::velox::BaseRuntimeStatWriter*),RuntimeMetrics.cpp,0x4633af0
"facebook::velox::SelectivityVector::applyToSelected<facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)1, long, long, void (*)(long&, long)>(void, char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, long, bool) const::{lambda(int)#3}>",0.030011,0.0180124,libBOSSVeloxEngine.so,"facebook::velox::SelectivityVector::applyToSelected<facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)1, long, long, void (*)(long&, long)>(void, char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, long, bool) const::{lambda(int)#3}>(facebook::velox::functions::aggregate::SimpleNumericAggregate<long, long, long>::updateGroups<(bool)1, long, long, void (*)(long&, long)>(void, char**, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector> const&, long, bool) const::{lambda(int)#3})",SelectivityVector.h,0x2749ea0
