System,Query,Iteration,Loaded,Required,Requested,Headers
0,0,0,70707898,-1,1876,6520
0,0,1,70707898,-1,1876,6520
0,0,2,70707898,-1,1876,6520
1,0,0,191191905,-1,442,1916
1,0,1,191191905,-1,442,1916
1,0,2,191191905,-1,442,1916
0,1,0,1244254001,-1,824,2818
0,1,1,1244254001,-1,824,2818
0,1,2,1244254001,-1,824,2818
1,1,0,5054448575,-1,6579,26553
1,1,1,5054448575,-1,6579,26553
1,1,2,5054448575,-1,6579,26553
0,2,0,1108437690,-1,4941,6994
0,2,1,1108437690,-1,4941,6994
0,2,2,1108437690,-1,4941,6994
1,2,0,2250402201,-1,3082,12542
1,2,1,2250402201,-1,3082,12542
1,2,2,2250402201,-1,3082,12542
0,3,0,3732508465,-1,865,3288
0,3,1,3732508465,-1,865,3288
0,3,2,3732508465,-1,865,3288
1,3,0,10108873847,-1,13059,52635
1,3,1,10108873847,-1,13059,52635
1,3,2,10108873847,-1,13059,52635
0,4,0,3732508465,-1,865,3288
0,4,1,3732508465,-1,865,3288
0,4,2,3732508465,-1,865,3288
1,4,0,10108873847,-1,13059,52635
1,4,1,10108873847,-1,13059,52635
1,4,2,10108873847,-1,13059,52635
0,5,0,1244237617,-1,815,2818
0,5,1,1244237617,-1,815,2818
0,5,2,1244237617,-1,815,2818
1,5,0,5054448575,-1,6579,26553
1,5,1,5054448575,-1,6579,26553
1,5,2,5054448575,-1,6579,26553
0,6,0,34619855,-1,660,2339
0,6,1,34619855,-1,660,2339
0,6,2,34619855,-1,660,2339
1,6,0,93600468,-1,120,483
1,6,1,93600468,-1,120,483
1,6,2,93600468,-1,120,483
