System,Query,Iteration,Pretransfer,Download
0,0,0,1421,730684
0,0,1,1284,729950
0,0,2,961,729978
1,0,0,362,1667239
1,0,1,719,1666789
1,0,2,451,1668680
0,1,0,690,10664676
0,1,1,932,10664998
0,1,2,675,10666615
1,1,0,4745,43728831
1,1,1,6170,43719388
1,1,2,4878,43799266
0,2,0,1502,9701052
0,2,1,1709,9704127
0,2,2,1787,9666317
1,2,0,3759,19495713
1,2,1,3506,19513484
1,2,2,3072,19485422
0,3,0,963,31918436
0,3,1,606,31978261
0,3,2,972,31979531
1,3,0,13849,90333057
1,3,1,10987,90935918
1,3,2,10830,90587735
0,4,0,1030,32088553
0,4,1,986,32174491
0,4,2,1114,32164544
1,4,0,14551,91492800
1,4,1,14178,91225928
1,4,2,12837,90396305
0,5,0,578,10688622
0,5,1,674,10769307
0,5,2,814,10791854
1,5,0,6833,43733917
1,5,1,6338,43886769
1,5,2,5733,43803360
0,6,0,336,344704
0,6,1,345,348688
0,6,2,309,341654
1,6,0,78,830985
1,6,1,166,807884
1,6,2,51,808234
