System,Query,Scale,Iteration,Pretransfer,Download
0,0,3,0,1876,6056476
0,0,3,1,1878,6059187
0,0,3,2,1411,6056970
0,0,4,0,1691,68022925
0,0,4,1,1762,69550614
0,0,4,2,1515,64960719
0,0,5,0,532812,141898416
0,0,5,1,613224,146392821
0,0,5,2,567373,146666866
0,1,3,0,3464,4539390
0,1,3,1,3135,4523285
0,1,3,2,3077,4547961
0,1,4,0,168557,43024541
0,1,4,1,164466,42991225
0,1,4,2,158684,43027063
0,1,5,0,423226,104352281
0,1,5,1,407518,99193832
0,1,5,2,413468,104099438
0,2,3,0,710,3354432
0,2,3,1,585,3332025
0,2,3,2,578,3345665
0,2,4,0,846,32378123
0,2,4,1,836,32377589
0,2,4,2,797,32368662
0,2,5,0,631,79572323
0,2,5,1,1015,79181652
0,2,5,2,643,79696097
0,3,3,0,4723,5953269
0,3,3,1,2815,5955338
0,3,3,2,3161,5954426
0,3,4,0,3515,59062822
0,3,4,1,3723,57346229
0,3,4,2,3232,57418890
0,3,5,0,3473,130799336
0,3,5,1,5039,135618199
0,3,5,2,3131,136812752
0,4,3,0,1520,2600750
0,4,3,1,1074,2599320
0,4,3,2,882,2609401
0,4,4,0,1677,24920797
0,4,4,1,1577,24920521
0,4,4,2,1332,24946137
0,4,5,0,1567,42169105
0,4,5,1,1526,41559838
0,4,5,2,1702,41543481
1,0,3,0,79,15717721
1,0,3,1,67,15705022
1,0,3,2,198,15743516
1,0,4,0,135,179304452
1,0,4,1,69,179444605
1,0,4,2,228,179133122
1,0,5,0,201,361214286
1,0,5,1,205,362424567
1,0,5,2,203,386132277
1,1,3,0,419,18941049
1,1,3,1,526,18977093
1,1,3,2,448,18956968
1,1,4,0,210,218747235
1,1,4,1,204,229791404
1,1,4,2,393,222849794
1,1,5,0,549,425930987
1,1,5,1,354,425504405
1,1,5,2,371,440222474
1,2,3,0,194,15761170
1,2,3,1,140,15751197
1,2,3,2,165,15818185
1,2,4,0,71,180282512
1,2,4,1,103,180495842
1,2,4,2,70,185031796
1,2,5,0,206,386360600
1,2,5,1,203,383625341
1,2,5,2,204,382896572
1,3,3,0,822,20500317
1,3,3,1,833,20493061
1,3,3,2,905,20467776
1,3,4,0,1059,233930389
1,3,4,1,1326,235848219
1,3,4,2,681,232656396
1,3,5,0,920,446852438
1,3,5,1,1012,449900682
1,3,5,2,979,438718508
1,4,3,0,313,18985886
1,4,3,1,312,18964957
1,4,3,2,443,19034324
1,4,4,0,519,220000966
1,4,4,1,466,214886679
1,4,4,2,313,214214246
1,4,5,0,621,395935350
1,4,5,1,676,400086029
1,4,5,2,715,397234552
